930; 0; 0; 170; 0; 
930; 0; 0; 170; 60; 
930; 0; 2500; 170; 60.2; 
930; 0; 2500; 170; 80; 
930; 0.23; 2900; 170; 80.2; 
1300; 0.52; 2900; 170; 130; 
1300; 0.52; 1800; 170; 130.2; 
1800; 0.53; 1800; 170; 180; 
1800; 0.53; 1800; 170; 180.2; 
2000; 0.53; 1800; 170; 205; 
2000; 0.53; 1700; 170; 205.2; 
2000; 0.53; 1700; 170; 480; 
2000; 0.47; 1300; 170; 480.2; 
2000; 0.47; 1700; 170; 680; 
2000; 0.47; 0; 0; 680.2; 
2000; 0.26; 0; 0; 705; 
2000; 0; 0; 0; 705.2; 
930; 0; 0; 0; 880; 
930; 0; 0; 0; 880.2; 
