0; 0; 0; 0; 0; 
0; 0; 0; 0; 0.2; 
0; 0; 0; 0; 0.4; 
0; 0; 0; 0; 0.6; 
0; 0; 0; 0; 0.8; 
0; 0; 0; 0; 1; 
0; 0; 0; 0; 1.2; 
0; 0; 0; 0; 1.4; 
0; 0; 0; 0; 1.6; 
0; 0; 0; 0; 1.8; 
0; 0; 0; 0; 2; 
0; 0; 0; 0; 2.2; 
0; 0; 0; 0; 2.4; 
0; 0; 0; 0; 2.6; 
0; 0; 0; 0; 2.8; 
0; 0; 0; 0; 3; 
0; 0; 0; 0; 3.2; 
0; 0; 0; 0; 3.4; 
0; 0; 0; 0; 3.6; 
0; 0; 0; 0; 3.8; 
0; 0; 0; 0; 4; 
0; 0; 0; 0; 4.2; 
0; 0; 0; 0; 4.4; 
0; 0; 0; 0; 4.6; 
0; 0; 0; 0; 4.8; 
0; 0; 0; 0; 5; 
3.4667; 0.00416; 0; 0; 5.2; 
12.4004; 0.01488; 0; 0; 5.4; 
24.9933; 0.029992; 0; 0; 5.6; 
40.0355; 0.048043; 0; 0; 5.8; 
56.7171; 0.068061; 0; 0; 6; 
74.496; 0.089395; 0; 0; 6.2; 
93.0093; 0.11161; 0; 0; 6.4; 
112.0142; 0.13442; 0; 0; 6.6; 
131.3482; 0.15762; 0; 0; 6.8; 
150.9024; 0.18108; 0; 0; 7; 
170.604; 0.20472; 0; 0; 7.2; 
190.4043; 0.22849; 0; 0; 7.4; 
210.2706; 0.25232; 0; 0; 7.6; 
230.1811; 0.27622; 0; 0; 7.8; 
250.1212; 0.30015; 0; 0; 8; 
270.0811; 0.3241; 0; 0; 8.2; 
290.0543; 0.34807; 0; 0; 8.4; 
310.0364; 0.37204; 0; 0; 8.6; 
330.0243; 0.39603; 0; 0; 8.8; 
350.0163; 0.42002; 0; 0; 9; 
370.0109; 0.44401; 0; 0; 9.2; 
390.0073; 0.46801; 0; 0; 9.4; 
410.0049; 0.49201; 0; 0; 9.6; 
430.0033; 0.516; 0; 0; 9.8; 
450.0022; 0.54; 0; 0; 10; 
466.6215; 0.5595; 0; 0; 10.2; 
477.9106; 0.57188; 0; 0; 10.4; 
485.6322; 0.57951; 0; 0; 10.6; 
490.9658; 0.58395; 0; 0; 10.8; 
494.7011; 0.58627; 0; 0; 11; 
497.3666; 0.58716; 0; 0; 11.2; 
499.3161; 0.58709; 0; 0; 11.4; 
500.7862; 0.58638; 0; 0; 11.6; 
501.9356; 0.58525; 0; 0; 11.8; 
502.8702; 0.58383; 0; 0; 12; 
503.6611; 0.58221; 0; 0; 12.2; 
504.3558; 0.58047; 0; 0; 12.4; 
504.9862; 0.57865; 0; 0; 12.6; 
505.5734; 0.57676; 0; 0; 12.8; 
506.1318; 0.57484; 0; 0; 13; 
506.6709; 0.57289; 0; 0; 13.2; 
507.197; 0.57093; 0; 0; 13.4; 
507.7146; 0.56895; 0; 0; 13.6; 
508.2263; 0.56697; 0; 0; 13.8; 
508.7341; 0.56498; 0; 0; 14; 
509.2394; 0.56299; 0; 0; 14.2; 
