0; 0; 0; 170; 0; 
0; 0; 0; 170; 0.2; 
0; 0; 0; 170; 0.4; 
0; 0; 0; 170; 0.6; 
0; 0; 0; 170; 0.8; 
0; 0; 3500; 170; 1; 
6.9333; 0.029333; 3500; 170; 1.2; 
24.5049; 0.093938; 3500; 170; 1.4; 
48.6286; 0.16728; 3500; 170; 1.6; 
76.3503; 0.23652; 3500; 170; 1.8; 
105.572; 0.29635; 3500; 170; 2; 
134.8382; 0.34542; 3500; 170; 2.2; 
163.1718; 0.3843; 3500; 170; 2.4; 
189.9488; 0.41438; 3500; 170; 2.6; 
214.8019; 0.43721; 3500; 170; 2.8; 
237.5485; 0.45431; 3500; 170; 3; 
258.1354; 0.46696; 3500; 170; 3.2; 
276.5977; 0.47624; 3500; 170; 3.4; 
293.0292; 0.483; 3500; 170; 3.6; 
307.5591; 0.48788; 3500; 170; 3.8; 
320.337; 0.4914; 3500; 170; 4; 
331.5203; 0.49205; 3500; 170; 4.2; 
341.2673; 0.4887; 3500; 170; 4.4; 
349.7311; 0.48221; 3500; 170; 4.6; 
357.0567; 0.47327; 3500; 170; 4.8; 
363.3784; 0.46245; 3500; 170; 5; 
368.8195; 0.45021; 3500; 170; 5.2; 
373.4914; 0.43697; 3500; 170; 5.4; 
377.4943; 0.42303; 3500; 170; 5.6; 
380.9171; 0.40866; 3500; 170; 5.8; 
383.8386; 0.39407; 3500; 170; 6; 
386.3281; 0.37946; 3500; 170; 6.2; 
388.4461; 0.36495; 3500; 170; 6.4; 
390.2456; 0.35066; 3500; 170; 6.6; 
391.7723; 0.33669; 3500; 170; 6.8; 
393.0661; 0.3231; 3500; 170; 7; 
394.1612; 0.30995; 3500; 170; 7.2; 
395.0872; 0.29729; 3500; 170; 7.4; 
395.8693; 0.28513; 3500; 170; 7.6; 
396.5293; 0.2735; 3500; 170; 7.8; 
397.0858; 0.2624; 3500; 170; 8; 
397.5546; 0.25185; 3500; 170; 8.2; 
397.9492; 0.24183; 3500; 170; 8.4; 
398.2811; 0.23234; 3500; 170; 8.6; 
398.5601; 0.22338; 3500; 170; 8.8; 
398.7944; 0.21492; 3500; 170; 9; 
398.9911; 0.20695; 3500; 170; 9.2; 
399.156; 0.19946; 3500; 170; 9.4; 
399.2944; 0.19243; 3500; 170; 9.6; 
399.4103; 0.18584; 3500; 170; 9.8; 
399.5074; 0.17966; 3500; 170; 10; 
399.4329; 0.17388; 3500; 170; 10.2; 
399.0499; 0.16848; 3500; 170; 10.4; 
398.3838; 0.16344; 3500; 170; 10.6; 
397.4586; 0.15874; 3500; 170; 10.8; 
396.2964; 0.15435; 3500; 170; 11; 
394.9179; 0.15027; 3500; 170; 11.2; 
393.3425; 0.14648; 3500; 170; 11.4; 
391.5884; 0.14295; 3500; 170; 11.6; 
389.6723; 0.13967; 3500; 170; 11.8; 
387.6101; 0.13663; 3500; 170; 12; 
385.4164; 0.13381; 3500; 170; 12.2; 
383.1049; 0.13119; 3500; 170; 12.4; 
380.6886; 0.12876; 3500; 170; 12.6; 
378.1794; 0.12652; 3500; 170; 12.8; 
375.5883; 0.12444; 3500; 170; 13; 
372.9259; 0.12251; 3500; 170; 13.2; 
370.2018; 0.12074; 3500; 170; 13.4; 
367.4249; 0.11909; 3500; 170; 13.6; 
364.6038; 0.11757; 3500; 170; 13.8; 
361.7463; 0.11617; 3500; 170; 14; 
358.8594; 0.11487; 3500; 170; 14.2; 
355.9501; 0.11368; 3500; 170; 14.4; 
353.0245; 0.11258; 3500; 170; 14.6; 
350.0884; 0.11156; 3500; 170; 14.8; 
347.1472; 0.11062; 3500; 170; 15; 
344.2058; 0.10976; 3500; 170; 15.2; 
341.2687; 0.10897; 3500; 170; 15.4; 
338.3402; 0.10823; 3500; 170; 15.6; 
335.4241; 0.10756; 3500; 170; 15.8; 
332.5239; 0.10694; 3500; 170; 16; 
329.6429; 0.10637; 3500; 170; 16.2; 
326.784; 0.10584; 3500; 170; 16.4; 
323.95; 0.10536; 3500; 170; 16.6; 
321.1433; 0.10492; 3500; 170; 16.8; 
318.3661; 0.10451; 3500; 170; 17; 
315.6204; 0.10413; 3500; 170; 17.2; 
312.9081; 0.10379; 3500; 170; 17.4; 
310.2306; 0.10347; 3500; 170; 17.6; 
307.5896; 0.10318; 3500; 170; 17.8; 
304.9861; 0.10292; 3500; 170; 18; 
302.4215; 0.10267; 3500; 170; 18.2; 
299.8965; 0.10245; 3500; 170; 18.4; 
297.412; 0.10224; 3500; 170; 18.6; 
294.9688; 0.10205; 3500; 170; 18.8; 
292.5675; 0.10188; 3500; 170; 19; 
290.2084; 0.10172; 3500; 170; 19.2; 
287.892; 0.10158; 3500; 170; 19.4; 
285.6186; 0.10144; 3500; 170; 19.6; 
283.3883; 0.10132; 3500; 170; 19.8; 
281.2013; 0.10121; 3500; 170; 20; 
279.0576; 0.1011; 3500; 170; 20.2; 
276.9571; 0.10101; 3500; 170; 20.4; 
274.8998; 0.10092; 3500; 170; 20.6; 
272.8856; 0.10085; 3500; 170; 20.8; 
270.9141; 0.10077; 3500; 170; 21; 
268.9852; 0.10071; 3500; 170; 21.2; 
267.0985; 0.10065; 3500; 170; 21.4; 
265.2537; 0.10059; 3500; 170; 21.6; 
263.4505; 0.10054; 3500; 170; 21.8; 
261.6883; 0.10049; 3500; 170; 22; 
259.9667; 0.10045; 3500; 170; 22.2; 
258.2853; 0.10041; 3500; 170; 22.4; 
256.6436; 0.10038; 3500; 170; 22.6; 
